Company,City,Addrs,zip,lat,lng
Mueller & Wilisch Gmbh,München, Johann-biersack-str. 11-15 82340 Feldafing,82340,47.949854,11.298814
Profol - Kunststoffe Gmbh,Rosenheim, Profolstr. 1-10 83128 Halfing,83128,47.951926,12.275278
Schreib Gmbh Prazisionsformenbau Und...,Rosenheim, Am Graben 2 83128 Halfing,83128,47.951926,12.275278
Werner Herr Gmbh,Freiburg, Alemannenstr. 2 79285 Ebringen,79285,47.957769,7.778324
F. Morat & Co. Gmbh,Freiburg, Hochst 7a 79871 Eisenbach (Hochschwarzwald),79871,47.961725,8.269812
Bruederl & Sohn Gmbh,Waldkraiburg, Weiher 2-3 83301 Traunreut,83301,47.96264,12.592357
Compact Technology Gmbh,Waldkraiburg, Traunring 65 Pf 1160 83301 Traunreut,83301,47.96264,12.592357
Gry Pharma Gmbh,Freiburg, Kandelstr. 10 79199 Kirchzarten,79199,47.963482,7.952733
Reinhard Kuehn,Freiburg, Keltenring 99 79199 Kirchzarten Baden-wuerttemberg,79199,47.963482,7.952733
Terra-bio-chemie Gmbh,Freiburg, Lindenbergstr. 5 79199 Kirchzarten,79199,47.963482,7.952733
Teva Pharma Gmbh,Freiburg, Kandelstr. 10 79199 Kirchzarten,79199,47.963482,7.952733
Adaltis Deutschland Gmbh,Freiburg, Merzhauser Str. 134 79100 Freiburg,79100,47.966022,7.855085
Praxima Gmbh & Co. Kg,Freiburg, Heinrich-v-stephan-str 8a 79100 Freiburg,79100,47.966022,7.855085
Mauermann-arzneimittel Franz Mauermann Ohg,München, Heinrich-knote-str. 2 82343 Pocking,82343,47.966455,11.300156
eurosepticac.fuchsgmbh,Freiburg, Langen Wangen 16 79112 Freiburg,79112,47.970126,7.70104
Azett Seifenfabrik Gmbh & Co. Kg,Kempten (Allgäu), Kempter Str. 52 87700 Memmingen,87700,47.984452,10.177454
Bio-chemisches Laboratorium dr.lehmann Gmbh &...,Kempten (Allgäu), Luitpoldstr. 32 Pf 1202 87700 Memmingen,87700,47.984452,10.177454
Hartmann Natur - Kosmetik - Vertriebs Gmbh,Ulm, 87700 Memmingen,87700,47.984452,10.177454
Relius Coatings Gmbh & Co. Kg,Ulm, Heimertinger Str. 10 1161 87700 Memmingen,87700,47.984452,10.177454
Wissler Gmbh,Freiburg, Kunzenweg 16 79117 Freiburg,79117,47.986141,7.90625
Friedrich Petzoldt Gmbh,München, Rudolf-diesel-ring 30 82054 Sauerlach,82054,47.98794,11.62822
Lebewohl-fabrik Gmbh & Co. Kg,Freiburg, Furstenbergstr. 15 79102 Freiburg,79102,47.988906,7.856792
Bbd Aesculap Gmbh,Villingen-Schwenningen, Am Aesculap-platz 0 78532 Tuttlingen,78532,47.989411,8.799575
Carl Hilzinger Thum Schleif- Und Poliermittelwerk...,Villingen-Schwenningen, Siemensstr. 2 Pf 4351 78532 Tuttlingen,78532,47.989411,8.799575
Carl Hilzinger-thum Gmbh & Co Kg,Villingen-Schwenningen, Siemensstr. 2 78532 Tuttlingen,78532,47.989411,8.799575
Gimmi Gmbh,Villingen-Schwenningen, Carl-zeiss-str. 6 8 78532 Tuttlingen,78532,47.989411,8.799575
Hanni Glatt Gmbh,Villingen-Schwenningen, Olgastr. 16-20 78532 Tuttlingen,78532,47.989411,8.799575
Richard Martin Medizintechnik Gmbh,Villingen-Schwenningen, Bei Der Bruhlmuhle 14-18 78532 Tuttlingen,78532,47.989411,8.799575
Stadtwerke Tuttlingen Gmbh,Villingen-Schwenningen, Bahnhofstr. 120 78532 Tuttlingen,78532,47.989411,8.799575
Union Oel Gmbh,Freiburg, 79098 Freiburg,79098,47.994697,7.849383
H. M. Rubensperger Gmbh,Traunreut, 83413 Fridolfing,83413,47.997821,12.826559
Hermann Otto Gmbh,Traunreut, Krankenhausstr. 14 83413 Fridolfing,83413,47.997821,12.826559
Agrex Agrar-export Gmbh,München, Gut Schwaige 97 82319 Starnberg,82319,48.000536,11.342857
"Clarins,gesellschaftmitbeschrankterhaftung",München, Petersbrunner Str. 3 82319 Starnberg,82319,48.000536,11.342857
Clarins Gmbh,München, Petersbrunner Str. 3 82319 Starnberg,82319,48.000536,11.342857
Glenwood Gmbh Pharmazeutische Erzeugnisse,München, Riedener Weg 23 82319 Starnberg,82319,48.000536,11.342857
La Ric Gmbh & Co. Kg,München, Ottostr. 18 82319 Starnberg,82319,48.000536,11.342857
Rohloff Cosmetics Gmbh,München, Heimgartenstr. 26 Pf 1521 82319 Starnberg,82319,48.000536,11.342857
Uti-jaeger Gmbh Umwelttechnische Innovationen,München, Am Muhlberg 1 82319 Starnberg,82319,48.000536,11.342857
Breitling Schleif- Und Poliermittelherstellungs...,Rosenheim, Heinrich-von-gern-str. 2-4 83119 Obing,83119,48.00173,12.407427
Pharmasan Gmbh Freiburg,Freiburg, Obere Hardtstr. 18 79114 Freiburg,79114,48.00253,7.83016
Hospital Engineering Gmbh,Villingen-Schwenningen, Max-planck-str. 12-16 78573 Wurmlingen,78573,48.004996,8.780043
A. De Crignis Edle Kosmetik Gmbh & Co. Kg,Augsburg, Max-planck-str. 1 86825 Bad Worishofen,86825,48.005108,10.594315
Kurt Gross,Kempten (Allgäu), Gartnerweg 1a 86825 Bad Worishofen,86825,48.005108,10.594315
Josef Weiss Plastic Gmbh,München, Fichtenstr. 26 85649 Brunnthal,85649,48.007474,11.687046
Acis Arzneimittel Gmbh,München, 82041 Oberhaching,82041,48.008468,11.5811
Franz Schlittenbauer,München, Kolpingring 1 82041 Oberhaching,82041,48.008468,11.5811
Julius Ilmberger & Sohn,München, Hahilingastr. 5 82041 Oberhaching,82041,48.008468,11.5811
Kyberg Pharma Vertriebs-gmbh & Co. Kg,München, Keltenring 8 82041 Oberhaching,82041,48.008468,11.5811
Medmark Pharma Gmbh,München, Keltenring 17 82041 Oberhaching,82041,48.008468,11.5811
